episode,Episode_reward
849,-267.1411795396611
850,-721.7176874801056
851,-4.633560899799704
852,-423.2510390218513
853,-1168.7185191552496
854,-128.09865134866675
855,-1108.1453202718787
856,-787.7817614906533
857,-131.08076234781902
858,-395.9966651758802
859,-139.48535896861318
860,-4.101628296454857
861,-267.94744208722807
862,-270.2134436571935
863,-584.2957438909101
864,-2.7558636154028653
865,-133.30587216954504
866,-275.1595607573063
867,-468.5952821441384
868,-134.59306355564743
869,-446.1202047509882
870,-1.0598712321908332
871,-1.0546032905192877
872,-137.31861973158308
873,-256.97154388473905
874,-0.2846462249886819
875,-423.20922799777924
876,-911.7463117801902
877,-0.22531925885016013
878,-271.89447168259295
879,-3.170813972517046
880,-1200.446020185081
881,-269.0496127697628
882,-1.166908252315438
883,-134.5371062473719
884,-133.91039647651044
885,-397.9828670484614
886,-138.3328302554274
887,-274.9103616490985
888,-268.49776669886694
889,-2.418992306621664
890,-441.2017706529399
891,-4.335989447299936
892,-131.06163271157845
893,-405.477170948635
894,-454.206165538476
895,-128.58733238124637
896,-130.83610563159345
897,-1066.0919200254648
898,-846.2291383393921
899,-431.8770663332023
900,-286.9208275103245
901,-127.79380250697793
902,-134.53633036826182
903,-0.3083390224501263
904,-459.43148320314776
905,-129.03753969054776
906,-133.92366278345565
907,-410.5438445752886
908,-396.0627623651636
909,-262.36726907565543
910,-128.53078287869286
911,-134.16450783062734
912,-268.1069675209982
913,-0.04048611295503121
914,-130.13179722263646
915,-1.1541900475081415
916,-386.9452192868784
917,-135.87309444520113
918,-132.85052788305856
919,-130.30448895940341
920,-132.60937742188298
921,-131.85320705381372
922,-137.98010545487836
923,-129.97576621485976
924,-544.5243069583827
925,-399.478918948584
926,-275.44276855295874
927,-264.71203355197156
928,-679.1599702404418
929,-259.3238947909427
930,-134.90566316629435
931,-587.075664064628
932,-270.83894759840564
933,-263.2492070185854
934,-462.1053650570759
935,-130.13000276509766
936,-919.1220141490127
937,-850.9076077673974
938,-264.4229086433065
939,-135.5663910785915
940,-441.1579390287127
941,-399.16558708049416
942,-394.4643426107892
943,-129.565426451899
944,-129.9516107134887
945,-266.55442406976925
946,-285.59941166532025
947,-134.44972545489762
948,-269.64066243333184
949,-432.53813348674186
950,-0.42465776556970664
951,-525.6943494892727
952,-134.70347988461734
953,-130.7739313879669
954,-135.48775311661086
955,-427.55877148460627
956,-0.31634954641271956
957,-269.2976213593173
958,-131.98759617070172
959,-271.04230637194144
960,-558.0539132817048
961,-268.9074545514848
962,-133.76765096041197
963,-268.0934231753192
964,-128.25489351252548
965,-128.682266638042
966,-692.4398654878609
967,-267.72786052658665
968,-131.7746144031308
969,-0.7498132118097715
970,-126.0590649306953
971,-271.67066433041583
972,-587.8564276647247
973,-630.4240531920394
974,-269.272998615561
975,-574.6438242827805
976,-1.3132953463979813
977,-395.91338022351545
978,-890.165603620192
979,-266.53965873809614
980,-1.852372721809325
981,-135.58338236205157
